direction,take_profit,stop_loss,open,high,low,close,weight,result
-1,0.0324679,-0.816882,1.60453,1.16358,1.6724,1.38798,2,-0.816882
-1,0.0959574,-0.729886,1.00465,0.84167,0.769558,0.673169,2,-0.729886
-1,0.0766138,-0.559289,0.576539,0.799768,0.308922,-0.0187998,2,-0.559289
1,0.679335,-0.0161964,-1.23107,-1.69535,-1.67964,-1.69647,2,0.679335
-1,0.080767,-0.311309,-1.1112,-1.12903,-1.44226,-1.4759,2,-0.311309
1,0.282365,-0.160907,0.790984,0.569795,0.666263,0.650512,-2,0.282365
1,0.136511,-0.563096,-1.11791,-0.525771,-1.5251,-0.353825,-2,0.136511
-1,0.0972768,-0.0816798,-0.643148,-0.612531,-1.00356,0.324708,2,-0.0816798
-1,0.321415,-0.0551717,-1.74029,-1.69892,-1.57301,-1.46156,-2,-0.0551717
-1,0.679335,-0.0161964,-1.23107,-1.69535,-1.67964,-1.69647,2,-0.0161964
1,0.0972768,-0.0816798,-0.643148,-0.612531,-1.00356,0.324708,2,0.0972768
1,0.0724942,-0.461739,-0.602889,-1.23911,0.223914,-0.629887,2,0.0724942
-1,0.232465,-0.20614,-0.575046,-0.718243,-1.60349,-1.05507,-2,-0.20614
1,0.080767,-0.311309,-1.1112,-1.12903,-1.44226,-1.4759,2,0.080767
-1,0.699156,-0.104954,-0.393501,-0.0945003,0.604854,0.161653,-2,-0.104954
1,0.232465,-0.20614,-0.575046,-0.718243,-1.60349,-1.05507,-2,0.232465
1,0.0324679,-0.816882,1.60453,1.16358,1.6724,1.38798,2,0.0324679
1,0.271005,-0.366641,0.489364,1.55346,1.15951,1.53833,2,0.271005
1,0.289888,-0.728287,-0.269766,0.760661,0.61394,0.748002,2,0.289888
1,0.10664,-0.295206,1.22362,0.852183,1.03202,0.95028,-2,0.10664
1,0.144667,-0.222033,-0.761596,-1.23213,-1.34923,-1.39466,2,0.144667
1,0.0766138,-0.559289,0.576539,0.799768,0.308922,-0.0187998,2,0.0766138
1,0.0306105,-0.967337,0.384879,1.928,0.233844,1.91332,1,0.0306105
-1,0.63928,-0.232827,-0.212032,-0.179538,-0.131966,0.294331,-2,-0.232827
-1,0.856669,-0.26031,-0.824708,-0.134309,-0.403414,0.0783478,2,-0.26031
1,0.0959574,-0.729886,1.00465,0.84167,0.769558,0.673169,2,0.0959574
1,0.370192,-0.643274,-1.32656,-1.71374,-1.61032,-1.7327,-2,0.370192
1,0.321415,-0.0551717,-1.74029,-1.69892,-1.57301,-1.46156,-2,0.321415
-1,0.271005,-0.366641,0.489364,1.55346,1.15951,1.53833,2,-0.366641
1,0.0906312,-0.493711,1.47272,0.732538,1.2373,0.935169,-2,0.0906312
-1,0.25203,-0.109021,0.981218,0.612207,0.169953,-0.28496,-2,-0.109021
-1,0.144667,-0.222033,-0.761596,-1.23213,-1.34923,-1.39466,2,-0.222033
-1,0.790157,-0.181294,0.496137,1.3164,1.73939,1.42064,2,-0.181294
-1,0.726083,-0.323597,-1.28771,-1.25577,-1.15076,-0.873026,-2,-0.323597
-1,0.893159,-0.206258,2.0313,2.03231,2.03017,2.00944,2,-0.206258
-1,0.282365,-0.160907,0.790984,0.569795,0.666263,0.650512,-2,-0.160907
-1,0.459555,-0.433901,-0.910095,-0.796015,-0.231103,-0.897432,2,-0.433901
1,0.34664,-0.949831,-0.0573247,0.065928,0.548101,0.396825,2,0.34664
1,0.191334,-0.344372,-0.348278,-0.130776,0.240069,-0.697244,2,0.191334
-1,0.917945,-0.206134,-0.817034,-0.515388,-0.585165,0.135268,1,-0.206134
1,0.340582,-0.428185,-0.505037,-0.71418,-0.563381,-0.942579,2,0.340582
1,0.253359,-0.331203,-1.21822,-1.48726,-1.07773,-1.14671,2,0.253359
-1,0.844768,-0.237509,-1.08246,-1.24805,-1.25664,-0.998763,-2,-0.237509
-1,0.10664,-0.295206,1.22362,0.852183,1.03202,0.95028,-2,-0.295206
1,0.243931,-0.244937,0.3408,0.870095,-0.73402,-1.73902,-2,0.243931
1,0.459555,-0.433901,-0.910095,-0.796015,-0.231103,-0.897432,2,0.459555
-1,0.243931,-0.244937,0.3408,0.870095,-0.73402,-1.73902,-2,-0.244937
1,0.211202,-0.716474,1.62219,1.10353,1.55894,1.15137,2,0.211202
-1,0.91271,-0.0403439,1.05659,1.53745,1.50744,1.44745,-2,-0.0403439
1,0.91271,-0.0403439,1.05659,1.53745,1.50744,1.44745,-2,0.91271
1,0.0530184,-0.917524,-0.452909,-1.67155,-1.61484,-0.877007,1,0.0530184
-1,0.303521,-0.0408684,-0.847177,-0.980487,-1.19127,-1.1989,-2,-0.0408684
1,0.0618192,-0.151557,0.291494,0.911096,1.05962,1.11166,2,0.0618192
-1,0.47062,-0.0554367,-0.66782,-1.27218,-0.35164,-0.770617,2,-0.0554367
-1,0.509957,-0.0800027,-0.537613,-0.694329,-0.538368,-1.04279,2,-0.0800027
-1,0.615591,-0.0341752,-1.32075,-1.26006,-1.8495,-0.432301,-2,-0.0341752
1,0.0260421,-0.636615,-0.358276,-0.353273,-0.123685,0.0325401,-2,0.0260421
1,0.059682,-0.179952,0.293137,0.565607,-1.59626,1.68467,-2,0.059682
-1,0.0618192,-0.151557,0.291494,0.911096,1.05962,1.11166,2,-0.151557
1,0.0814707,-0.783303,-1.05403,-0.382536,-0.499789,0.508063,-2,0.0814707
1,0.353075,-0.50053,-0.795373,-0.696197,-0.53165,-0.643156,2,0.353075
-1,0.602473,-0.335269,-1.3183,0.693832,-1.18447,1.31711,2,-0.335269
-1,0.40957,-0.270499,-0.169359,0.34196,0.328966,1.07065,2,-0.270499
-1,0.818165,-0.248183,1.21844,1.03124,1.3436,0.987142,-2,-0.248183
-1,0.571805,-0.182755,-0.37055,-0.0733555,0.353174,0.468364,2,-0.182755
-1,0.672635,-0.0920555,1.66384,1.41528,1.17605,0.633859,2,-0.0920555
1,0.536568,-0.774565,-1.34889,-1.59549,-0.813183,-1.06174,-2,0.536568
-1,0.253359,-0.331203,-1.21822,-1.48726,-1.07773,-1.14671,2,-0.331203
1,0.11859,-0.744348,1.54382,0.744478,-1.02397,-0.925867,2,0.11859
1,0.0961147,-0.217393,1.14212,0.14016,0.946915,0.469579,2,0.0961147
-1,0.340582,-0.428185,-0.505037,-0.71418,-0.563381,-0.942579,2,-0.428185
1,0.092411,-0.563615,1.16249,1.55339,0.988198,0.981955,2,0.092411
-1,0.136511,-0.563096,-1.11791,-0.525771,-1.5251,-0.353825,-2,-0.563096
1,0.0276698,-0.61979,1.09138,0.873771,1.58074,0.969116,-2,0.0276698
1,0.25203,-0.109021,0.981218,0.612207,0.169953,-0.28496,-2,0.25203
-1,0.709695,-0.0188607,0.40841,1.6649,0.73609,1.13576,1,-0.0188607
-1,0.0724942,-0.461739,-0.602889,-1.23911,0.223914,-0.629887,2,-0.461739
-1,0.861343,-0.14196,-1.21131,-0.26461,-0.737863,0.375284,-2,-0.14196
1,0.202086,-0.544019,0.127643,-0.415426,0.459958,0.054283,2,0.202086
-1,0.911918,-0.301125,-0.225227,-0.623814,0.101168,-0.471532,-2,-0.301125
-1,0.9365,-0.356005,1.92699,1.97052,2.0146,1.92656,2,-0.356005
-1,0.370192,-0.643274,-1.32656,-1.71374,-1.61032,-1.7327,-2,-0.643274
-1,0.576969,-0.422169,0.689049,0.365757,0.503851,0.549319,-2,-0.422169
1,0.389848,-0.785171,-0.00848622,-0.166707,0.207274,0.0424173,2,0.389848
1,0.36351,-0.378336,-1.07041,-0.790341,-0.633646,-0.228248,-2,0.36351
-1,0.36351,-0.378336,-1.07041,-0.790341,-0.633646,-0.228248,-2,-0.378336
1,0.506313,-0.885193,0.832968,-0.0190218,0.0916007,-0.0735334,2,0.506313
1,0.467579,-0.767125,0.22059,1.69127,1.5677,1.66926,1,0.467579
-1,0.599804,-0.125336,1.16796,0.884701,0.464235,-0.44361,2,-0.125336
1,0.130013,-0.392907,0.685925,1.09252,1.16675,1.3022,1,0.130013
1,0.662656,-0.81719,-1.03132,-0.564964,-0.640956,-0.116929,2,0.662656
1,0.624677,-0.890232,-0.053175,-0.519182,-0.7478,-1.4919,2,0.624677
1,0.178701,-0.46821,0.284589,-0.172113,-0.295354,-0.813608,2,0.178701
1,0.651356,-0.846096,-0.396158,-1.40701,-0.687341,-1.30346,2,0.651356
1,0.219261,-0.389894,0.731483,0.421551,0.620387,0.315363,2,0.219261
-1,0.425883,-0.331562,-0.20493,-0.247726,0.335894,0.249366,2,-0.331562
-1,0.191334,-0.344372,-0.348278,-0.130776,0.240069,-0.697244,2,-0.344372
-1,0.353075,-0.50053,-0.795373,-0.696197,-0.53165,-0.643156,2,-0.50053
1,0.40957,-0.270499,-0.169359,0.34196,0.328966,1.07065,2,0.40957
-1,0.736473,-0.19859,0.344311,1.23617,0.54117,0.747075,2,-0.19859
-1,0.615774,-0.385591,0.755679,0.658312,0.710993,0.122396,1,-0.385591
1,0.303521,-0.0408684,-0.847177,-0.980487,-1.19127,-1.1989,-2,0.303521
-1,0.289888,-0.728287,-0.269766,0.760661,0.61394,0.748002,2,-0.728287
-1,0.059682,-0.179952,0.293137,0.565607,-1.59626,1.68467,-2,-0.179952
-1,0.442097,-0.0229718,1.88481,1.48124,1.84187,1.48471,2,-0.0229718
-1,0.199114,-0.0607603,1.63904,1.63795,1.6584,1.45041,2,-0.0607603
1,0.261128,-0.377841,-1.50373,-0.989609,-0.841355,-0.0645212,-1,0.261128
-1,0.0961147,-0.217393,1.14212,0.14016,0.946915,0.469579,2,-0.217393
-1,0.874427,-0.21018,0.248937,-0.175082,0.561223,0.576199,2,-0.21018
-1,0.742511,-0.313185,-0.474742,-0.591435,-0.35416,-0.494588,-2,-0.313185
1,0.0925147,-0.623559,0.943729,0.666652,1.09257,0.786038,-2,0.0925147
1,0.425883,-0.331562,-0.20493,-0.247726,0.335894,0.249366,2,0.425883
-1,0.831756,-0.536649,-0.361885,-0.516273,-0.165891,-0.397193,-2,-0.536649
1,0.0305599,-0.285864,0.842379,0.517569,0.681126,0.0203028,2,0.0305599
1,0.158513,-0.27178,0.726541,0.234743,0.920517,0.510803,2,0.158513
-1,0.318258,-0.121375,1.36953,1.09187,1.37028,0.822053,2,-0.121375
-1,0.870635,-0.290089,-0.811653,-1.4668,-0.576894,-0.332174,-2,-0.290089
1,0.576969,-0.422169,0.689049,0.365757,0.503851,0.549319,-2,0.576969
1,0.254713,-0.898181,-0.886303,-1.406,-0.313252,-1.17507,1,0.254713
1,0.549251,-0.991633,-1.09492,-1.27699,-1.00199,-0.996589,-2,0.549251
-1,0.536568,-0.774565,-1.34889,-1.59549,-0.813183,-1.06174,-2,-0.774565
-1,0.459597,-0.266092,1.37192,1.3963,1.48173,1.53576,2,-0.266092
-1,0.96686,-0.384597,1.39741,1.24378,0.760376,0.386433,2,-0.384597
1,0.63928,-0.232827,-0.212032,-0.179538,-0.131966,0.294331,-2,0.63928
-1,0.662656,-0.81719,-1.03132,-0.564964,-0.640956,-0.116929,2,-0.81719
1,0.221016,-0.288725,1.68847,1.92177,-1.8412,-1.91987,2,0.221016
-1,0.433666,-0.324247,1.77123,1.88167,1.72308,1.84635,-2,-0.324247
-1,0.478716,-0.0813647,-0.180012,-0.639791,-0.0981937,1.28835,-2,-0.0813647
1,0.602136,-0.909775,-0.810144,-0.950911,-0.347556,0.394737,-2,0.602136
