direction,take_profit,stop_loss,open,high,low,close,weight,result
1,0.0174028,-0.307443,-1.75408,-1.20367,-1.20162,-0.479757,-2,0.0174028
1,0.045151,-0.217416,0.0376794,-0.74507,-0.316501,-0.87151,-2,0.045151
1,0.771405,-0.0446281,1.31414,1.6491,1.29807,1.60559,-2,0.771405
1,0.0295519,-0.0656854,-1.55047,-1.5066,-1.18851,-1.05309,-2,0.0295519
1,0.6132,-0.033519,1.59329,1.57416,1.75939,1.40138,1,0.6132
1,0.0478089,-0.877746,-1.36033,-0.87188,-1.10369,-1.66571,1,0.0478089
-1,0.0295519,-0.0656854,-1.55047,-1.5066,-1.18851,-1.05309,-2,-0.0656854
-1,0.611153,-0.0885661,-0.19752,-0.865886,-0.247325,-0.0938939,1,-0.0885661
1,0.0842463,-0.947219,-1.84801,-1.72943,-1.83119,-1.6191,2,0.0842463
-1,0.13961,-0.0567216,1.6475,1.14703,1.61736,0.471161,2,-0.0567216
-1,0.39697,-0.0456863,0.927074,0.630679,0.484699,0.26418,-2,-0.0456863
-1,0.6132,-0.033519,1.59329,1.57416,1.75939,1.40138,1,-0.033519
-1,0.771405,-0.0446281,1.31414,1.6491,1.29807,1.60559,-2,-0.0446281
1,0.0733147,-0.636852,1.69759,1.62726,1.69791,1.43573,2,0.0733147
1,0.0835367,-0.687313,1.62841,0.831975,1.10974,1.08668,2,0.0835367
1,0.109002,-0.270238,0.0660367,-0.174731,-1.33207,-1.57774,-2,0.109002
1,0.0902384,-0.21812,0.385859,1.83647,0.81065,1.72537,-2,0.0902384
1,0.739513,-0.0154151,0.0976467,0.999157,-0.0301663,1.05143,2,0.739513
1,0.122125,-0.672279,-0.405815,1.00677,0.338979,1.65908,-2,0.122125
-1,0.739513,-0.0154151,0.0976467,0.999157,-0.0301663,1.05143,2,-0.0154151
1,0.0124309,-0.645749,-1.04157,-1.01357,-0.909646,-1.04926,2,0.0124309
1,0.0222054,-0.341629,-1.2412,-1.13801,-1.57895,-1.3141,-2,0.0222054
1,0.145703,-0.996415,1.23808,1.19323,1.49607,1.19041,2,0.145703
1,0.0254776,-0.0685294,-0.135347,-0.945692,0.106127,0.289505,2,0.0254776
1,0.13961,-0.0567216,1.6475,1.14703,1.61736,0.471161,2,0.13961
-1,0.0124309,-0.645749,-1.04157,-1.01357,-0.909646,-1.04926,2,-0.645749
-1,0.0254776,-0.0685294,-0.135347,-0.945692,0.106127,0.289505,2,-0.0685294
-1,0.0222054,-0.341629,-1.2412,-1.13801,-1.57895,-1.3141,-2,-0.341629
1,0.694463,-0.0735095,0.731416,1.66362,0.836128,1.29316,2,0.694463
1,0.470794,-0.049753,0.978726,1.09581,1.11065,0.807435,2,0.470794
1,0.0329692,-0.189105,1.83642,1.65909,1.42397,0.270778,-2,0.0329692
-1,0.976949,-0.0563929,1.53101,1.65953,1.32887,1.71556,-2,-0.0563929
1,0.0349502,-0.201868,-1.14759,-1.08568,-0.741475,-1.06804,2,0.0349502
-1,0.928385,-0.0155786,-1.4886,-1.08996,-1.83366,-1.53082,-2,-0.0155786
1,0.0862246,-0.792027,-0.75471,-0.901734,-0.593725,-0.523079,-2,0.0862246
-1,0.232008,-0.09748,0.359132,-0.145376,-0.626865,-0.779747,-2,-0.09748
1,0.0312611,-0.574855,1.17766,1.32139,1.41886,1.23397,-2,0.0312611
-1,0.470794,-0.049753,0.978726,1.09581,1.11065,0.807435,2,-0.049753
-1,0.461376,-0.0228675,1.18333,1.87864,1.79449,0.577705,2,-0.0228675
-1,0.892141,-0.0701615,0.655765,0.395161,0.683357,0.660073,2,-0.0701615
-1,0.965251,-0.125479,0.598611,1.11241,0.912242,1.30681,-2,-0.125479
-1,0.633973,-0.123407,0.789693,-0.818845,0.409027,0.736572,2,-0.123407
1,0.203815,-0.572846,-0.801808,-1.20306,-0.988522,-1.49772,-2,0.203815
1,0.136999,-0.745022,-0.929161,-1.15494,-0.817023,-0.819646,-2,0.136999
1,0.231652,-0.537479,-1.10183,-1.17697,-1.09432,-1.06267,2,0.231652
-1,0.449638,-0.115934,1.88492,1.5068,1.73531,0.98795,2,-0.115934
1,0.218185,-0.229426,1.19836,1.51418,1.64919,1.86695,-2,0.218185
-1,0.045151,-0.217416,0.0376794,-0.74507,-0.316501,-0.87151,-2,-0.217416
1,0.0889846,-0.309376,-0.272435,0.398403,-0.0532626,0.253289,-2,0.0889846
-1,0.34325,-0.217124,-0.362421,0.0541939,-0.142135,-0.761814,-2,-0.217124
-1,0.708053,-0.200193,0.0757815,-0.731202,-0.552268,-1.16794,2,-0.200193
-1,0.694463,-0.0735095,0.731416,1.66362,0.836128,1.29316,2,-0.0735095
-1,0.238829,-0.165007,0.362843,0.61484,0.826798,0.664957,2,-0.165007
1,0.113918,-0.448782,-0.00971217,-0.65959,-1.69451,-1.67392,-2,0.113918
-1,0.0902384,-0.21812,0.385859,1.83647,0.81065,1.72537,-2,-0.21812
-1,0.218185,-0.229426,1.19836,1.51418,1.64919,1.86695,-2,-0.229426
-1,0.247656,-0.214663,0.8533,0.53836,0.809356,1.09145,-2,-0.214663
1,0.0366227,-0.602926,1.46383,1.54123,1.47586,1.36754,2,0.0366227
-1,0.5691,-0.186917,-0.959093,1.30105,0.534032,1.2899,-2,-0.186917
-1,0.971774,-0.178935,1.27312,0.570219,0.897676,0.363943,1,-0.178935
-1,0.654369,-0.183945,-1.11151,-0.872809,-0.594769,-0.559264,2,-0.183945
-1,0.0174028,-0.307443,-1.75408,-1.20367,-1.20162,-0.479757,-2,-0.307443
1,0.144304,-0.49814,1.60916,1.82178,1.6043,1.84454,2,0.144304
-1,0.0329692,-0.189105,1.83642,1.65909,1.42397,0.270778,-2,-0.189105
1,0.284944,-0.697482,-0.872344,-1.01242,-0.920384,-1.06734,-2,0.284944
-1,0.374112,-0.216707,1.44154,1.87429,1.70233,1.60072,2,-0.216707
-1,0.916178,-0.270844,1.67871,1.04923,0.0128221,0.37415,2,-0.270844
-1,0.930523,-0.207415,1.45079,1.01422,1.10873,0.377473,2,-0.207415
-1,0.846638,-0.137433,-0.387259,-1.31394,-0.90525,-1.12871,2,-0.137433
1,0.12051,-0.456551,1.021,0.514137,1.37636,0.739865,-2,0.12051
1,0.241108,-0.717631,-1.14764,-1.45296,-1.14722,-1.2665,-2,0.241108
-1,0.0349502,-0.201868,-1.14759,-1.08568,-0.741475,-1.06804,2,-0.201868
-1,0.829814,-0.172054,0.804277,1.40166,1.17178,1.65243,-2,-0.172054
-1,0.889647,-0.117865,0.243645,1.0643,0.677225,1.32193,2,-0.117865
1,0.161851,-0.239547,1.12229,0.795582,1.10131,1.0458,2,0.161851
1,0.247656,-0.214663,0.8533,0.53836,0.809356,1.09145,-2,0.247656
-1,0.748898,-0.0956349,1.21531,1.10357,1.48785,1.75672,2,-0.0956349
1,0.232645,-0.71814,1.23044,0.597873,0.92727,0.571766,2,0.232645
1,0.301881,-0.473706,-1.1614,-0.987314,-0.879807,-0.568961,-2,0.301881
1,0.311287,-0.337643,-1.25978,-1.36197,-1.07388,-1.13772,-2,0.311287
-1,0.109002,-0.270238,0.0660367,-0.174731,-1.33207,-1.57774,-2,-0.270238
1,0.337565,-0.869562,-1.20895,-1.80082,-1.58657,-1.49951,-2,0.337565
-1,0.955168,-0.169836,0.94373,0.633124,1.05758,0.167249,-2,-0.169836
1,0.173063,-0.48564,-1.36899,1.26254,0.132856,1.42656,-2,0.173063
1,0.232008,-0.09748,0.359132,-0.145376,-0.626865,-0.779747,-2,0.232008
1,0.294637,-0.500808,1.58598,1.14781,1.60302,0.441979,2,0.294637
1,0.238829,-0.165007,0.362843,0.61484,0.826798,0.664957,2,0.238829
-1,0.335208,-0.333642,0.11534,-0.156699,0.0379472,-0.294112,2,-0.333642
-1,0.311287,-0.337643,-1.25978,-1.36197,-1.07388,-1.13772,-2,-0.337643
1,0.225119,-0.63418,0.213036,-0.20036,0.250067,0.165235,2,0.225119
1,0.217789,-0.875247,-1.4512,-0.999583,-0.785963,-0.851533,-2,0.217789
1,0.335208,-0.333642,0.11534,-0.156699,0.0379472,-0.294112,2,0.335208
1,0.172178,-0.801975,-1.24277,0.596242,-0.593285,-0.760412,-1,0.172178
