direction,take_profit,stop_loss,open,high,low,close,volume,weight,result
1,0.0241502,-0.819473,1.57821,0.946212,1.6987,1.5916,0,2,0.0241502
-1,0.387825,-0.0236223,-1.60903,-1.6242,-1.28984,-1.60742,0,1,-0.0236223
1,0.0249931,-0.595248,0.569891,0.640867,0.489887,0.547067,0,1,0.0249931
-1,0.961416,-0.0264484,1.08343,0.708655,0.941278,1.06906,0,2,-0.0264484
-1,0.825047,-0.027715,1.79136,1.44428,1.64384,1.79363,0,1,-0.027715
-1,0.584576,-0.0468407,-0.711767,1.18179,0.292804,-0.659665,0,1,-0.0468407
1,0.0440684,-0.734295,0.370286,0.75391,0.983441,0.370174,0,2,0.0440684
1,0.156141,-0.0133854,-1.61089,-1.87813,-1.28589,-1.60401,0,2,0.156141
-1,0.0105597,-0.0755538,0.267727,-0.170304,0.886041,0.300018,0,1,-0.0755538
1,0.93376,-0.0273029,1.30858,1.48482,1.26605,1.29286,0,1,0.93376
1,0.393449,-0.0294525,-1.64958,-1.52487,-1.68997,-1.66915,0,1,0.393449
-1,0.458638,-0.0143865,1.76875,1.8038,1.96719,1.75497,0,2,-0.0143865
1,0.0105597,-0.0755538,0.267727,-0.170304,0.886041,0.300018,0,1,0.0105597
-1,0.796448,-0.0299877,0.85654,0.741026,0.334491,0.831011,0,2,-0.0299877
-1,0.156141,-0.0133854,-1.61089,-1.87813,-1.28589,-1.60401,0,2,-0.0133854
1,0.0216619,-0.895835,-0.263251,0.0582353,0.181032,-0.257216,0,2,0.0216619
1,0.0326446,-0.870694,1.28643,1.14756,1.18898,1.16179,0,2,0.0326446
-1,0.448273,-0.0285057,1.43075,0.597483,0.320564,1.47391,0,2,-0.0285057
-1,0.93376,-0.0273029,1.30858,1.48482,1.26605,1.29286,0,1,-0.0273029
1,0.0246037,-0.481634,1.61962,1.77578,1.68101,1.60162,0,2,0.0246037
-1,0.213642,-0.0495025,1.05167,0.818695,1.05073,1.08622,0,1,-0.0495025
1,0.0399532,-0.666738,-0.0837695,-0.370504,0.262939,-0.0909149,0,2,0.0399532
1,0.0324512,-0.638391,-0.0874843,0.628585,1.14143,-0.11475,0,1,0.0324512
-1,0.393449,-0.0294525,-1.64958,-1.52487,-1.68997,-1.66915,0,1,-0.0294525
-1,0.713118,-0.0405396,0.974766,0.487218,0.409952,0.971001,0,1,-0.0405396
-1,0.11914,-0.0957833,-0.825265,-0.885437,-0.806124,-0.813109,0,2,-0.0957833
1,0.0449937,-0.974301,-1.18321,-1.30161,-1.73104,-1.1677,0,2,0.0449937
-1,0.783182,-0.041557,-0.509534,-0.913987,-1.14646,-0.506306,0,1,-0.041557
1,0.0461698,-0.134734,0.977529,1.09572,1.36195,1.03079,0,2,0.0461698
-1,0.304922,-0.0584294,-0.94503,-1.00126,-0.755543,-0.955624,0,2,-0.0584294
-1,0.502357,-0.0733909,1.53019,0.907501,-0.219246,1.52269,0,2,-0.0733909
1,0.050407,-0.220397,1.78328,1.63983,1.65345,1.78787,0,2,0.050407
-1,0.944778,-0.0565592,-1.043,-0.113337,-0.423399,-1.07761,0,1,-0.0565592
-1,0.103518,-0.0610267,1.18638,0.969281,1.08001,1.1502,0,2,-0.0610267
1,0.0668505,-0.29483,1.177,1.22859,1.05738,1.21332,0,2,0.0668505
-1,0.312593,-0.063243,-0.78824,-1.76688,-1.44068,-0.760365,0,1,-0.063243
-1,0.222184,-0.0585763,1.10703,-0.488858,0.189807,1.13034,0,1,-0.0585763
1,0.0633571,-0.638767,-0.729912,-0.760105,-0.900503,-0.675375,0,1,0.0633571
-1,0.128856,-0.060407,-1.77381,-1.66184,-1.19344,-1.81649,0,2,-0.060407
-1,0.922486,-0.0395029,0.743642,0.850438,0.850517,0.799012,0,2,-0.0395029
-1,0.252941,-0.0701531,-0.725002,-0.9497,-1.33829,-0.749988,0,2,-0.0701531
-1,0.271752,-0.081817,1.86073,1.92089,1.81387,1.86029,0,2,-0.081817
1,0.0855584,-0.877198,1.13247,0.0880537,1.16854,1.15911,0,1,0.0855584
1,0.0762889,-0.67686,-0.562793,-0.985344,-1.32726,-0.570644,0,2,0.0762889
1,0.11914,-0.0957833,-0.825265,-0.885437,-0.806124,-0.813109,0,2,0.11914
-1,0.338114,-0.0617785,0.169649,0.0942748,0.338178,0.152964,0,1,-0.0617785
-1,0.666814,-0.0905328,1.51652,1.18995,1.50521,1.51891,0,2,-0.0905328
-1,0.994826,-0.0757062,0.898198,1.25941,1.16242,0.861867,0,1,-0.0757062
-1,0.865045,-0.0963192,-1.14382,-1.30283,-0.361038,-1.18688,0,2,-0.0963192
1,0.0599693,-0.146742,1.12894,0.738765,-1.30986,1.14583,0,1,0.0599693
1,0.053568,-0.0688808,-0.846322,-2.02714,-0.729459,-0.824063,0,2,0.053568
-1,0.522557,-0.100456,1.19008,0.831371,-0.476692,1.21496,0,2,-0.100456
-1,0.053568,-0.0688808,-0.846322,-2.02714,-0.729459,-0.824063,0,2,-0.0688808
1,0.106769,-0.65984,-1.09625,-0.884759,-0.72973,-1.10176,0,1,0.106769
-1,0.017158,-0.310433,0.613588,0.878629,1.55416,0.553205,0,2,-0.310433
1,0.485507,-0.0305029,-0.838275,-1.05126,-0.727283,-0.809859,0,2,0.485507
1,0.0140208,-0.624582,-0.221598,1.40309,0.159558,-0.112536,0,2,0.0140208
-1,0.0161798,-0.833487,-1.03991,-1.08366,-1.12845,-1.03901,0,1,-0.833487
-1,0.0549504,-0.204566,0.474446,-0.274046,0.895457,0.442577,0,2,-0.204566
-1,0.0140208,-0.624582,-0.221598,1.40309,0.159558,-0.112536,0,2,-0.624582
1,0.669216,-0.0320703,0.865367,1.59675,1.37611,0.826041,0,2,0.669216
-1,0.0113414,-0.801243,-1.43858,-1.00479,-1.39204,-1.4142,0,1,-0.801243
-1,0.0216619,-0.895835,-0.263251,0.0582353,0.181032,-0.257216,0,2,-0.895835
-1,0.0246037,-0.481634,1.61962,1.77578,1.68101,1.60162,0,2,-0.481634
1,0.448273,-0.0285057,1.43075,0.597483,0.320564,1.47391,0,2,0.448273
1,0.922486,-0.0395029,0.743642,0.850438,0.850517,0.799012,0,2,0.922486
-1,0.0324512,-0.638391,-0.0874843,0.628585,1.14143,-0.11475,0,1,-0.638391
1,0.458638,-0.0143865,1.76875,1.8038,1.96719,1.75497,0,2,0.458638
-1,0.04232,-0.773698,0.892192,0.60965,0.729476,0.869517,0,1,-0.773698
1,0.946189,-0.0840152,0.269105,0.0124532,1.11246,0.278521,0,2,0.946189
-1,0.0326446,-0.870694,1.28643,1.14756,1.18898,1.16179,0,2,-0.870694
1,0.796448,-0.0299877,0.85654,0.741026,0.334491,0.831011,0,2,0.796448
-1,0.0307331,-0.836367,0.135923,-0.0730089,0.038608,0.0898397,0,1,-0.836367
-1,0.0901222,-0.76374,0.195802,0.662515,0.602632,0.217959,0,1,-0.76374
1,0.783182,-0.041557,-0.509534,-0.913987,-1.14646,-0.506306,0,1,0.783182
-1,0.0461698,-0.134734,0.977529,1.09572,1.36195,1.03079,0,2,-0.134734
1,0.582704,-0.099684,1.64081,1.2389,1.84541,1.62671,0,1,0.582704
1,0.713118,-0.0405396,0.974766,0.487218,0.409952,0.971001,0,1,0.713118
-1,0.0399532,-0.666738,-0.0837695,-0.370504,0.262939,-0.0909149,0,2,-0.666738
1,0.536473,-0.0627287,-1.02606,-1.39523,-1.59643,-0.96293,0,2,0.536473
1,0.275708,-0.123513,0.753601,0.496841,0.861103,0.764942,0,2,0.275708
1,0.992498,-0.0693298,0.92919,0.365882,1.02585,0.905754,0,2,0.992498
1,0.961416,-0.0264484,1.08343,0.708655,0.941278,1.06906,0,2,0.961416
1,0.825047,-0.027715,1.79136,1.44428,1.64384,1.79363,0,1,0.825047
-1,0.0449937,-0.974301,-1.18321,-1.30161,-1.73104,-1.1677,0,2,-0.974301
-1,0.0249931,-0.595248,0.569891,0.640867,0.489887,0.547067,0,1,-0.595248
-1,0.0599693,-0.146742,1.12894,0.738765,-1.30986,1.14583,0,1,-0.146742
1,0.949529,-0.0197565,-0.596815,-0.879228,-0.709226,-0.567708,0,2,0.949529
-1,0.050407,-0.220397,1.78328,1.63983,1.65345,1.78787,0,2,-0.220397
1,0.702853,-0.0463577,-1.03183,-1.51364,-1.31418,-1.04727,0,2,0.702853
1,0.222184,-0.0585763,1.10703,-0.488858,0.189807,1.13034,0,1,0.222184
1,0.213642,-0.0495025,1.05167,0.818695,1.05073,1.08622,0,1,0.213642
1,0.944778,-0.0565592,-1.043,-0.113337,-0.423399,-1.07761,0,1,0.944778
1,0.501411,-0.0646081,1.17146,1.21872,1.31475,1.22265,0,2,0.501411
1,0.103518,-0.0610267,1.18638,0.969281,1.08001,1.1502,0,2,0.103518
-1,0.0440684,-0.734295,0.370286,0.75391,0.983441,0.370174,0,2,-0.734295
1,0.338114,-0.0617785,0.169649,0.0942748,0.338178,0.152964,0,1,0.338114
1,0.387825,-0.0236223,-1.60903,-1.6242,-1.28984,-1.60742,0,1,0.387825
-1,0.0130487,-0.524827,-1.3912,-0.953075,-0.762073,-1.35897,0,2,-0.524827
1,0.222908,-0.0145259,-0.411033,-0.646107,-1.48668,-0.545252,0,2,0.222908
1,0.958159,-0.0530929,-1.23864,-1.03487,-0.97671,-1.22045,0,2,0.958159
1,0.469122,-0.0296465,-1.29073,-1.58637,-1.67699,-1.32771,0,1,0.469122
-1,0.116227,-0.810434,1.4614,1.62012,1.67474,1.4432,0,1,-0.810434
-1,0.0668505,-0.29483,1.177,1.22859,1.05738,1.21332,0,2,-0.29483
1,0.304922,-0.0584294,-0.94503,-1.00126,-0.755543,-0.955624,0,2,0.304922
-1,0.0633571,-0.638767,-0.729912,-0.760105,-0.900503,-0.675375,0,1,-0.638767
-1,0.0811413,-0.876711,1.52692,1.58323,1.66752,1.53734,0,1,-0.876711
-1,0.0797785,-0.346117,0.214938,-0.181301,-0.100163,0.219445,0,2,-0.346117
1,0.128856,-0.060407,-1.77381,-1.66184,-1.19344,-1.81649,0,2,0.128856
1,0.312593,-0.063243,-0.78824,-1.76688,-1.44068,-0.760365,0,1,0.312593
-1,0.0241502,-0.819473,1.57821,0.946212,1.6987,1.5916,0,2,-0.819473
1,0.584576,-0.0468407,-0.711767,1.18179,0.292804,-0.659665,0,1,0.584576
1,0.601981,-0.0492016,-0.467948,-0.85249,0.167513,-0.330082,0,-2,0.601981
1,0.994826,-0.0757062,0.898198,1.25941,1.16242,0.861867,0,1,0.994826
1,0.782643,-0.0685318,-1.41283,-1.8095,-1.56705,-1.4079,0,1,0.782643
-1,0.0762749,-0.731362,0.127068,1.81497,1.52676,0.172771,0,1,-0.731362
1,0.599596,-0.0972237,-1.17516,-1.54911,-1.36682,-1.17338,0,2,0.599596
1,0.80056,-0.0975523,-1.36931,-1.60448,-0.85309,-1.37127,0,1,0.80056
-1,0.0762889,-0.67686,-0.562793,-0.985344,-1.32726,-0.570644,0,2,-0.67686
1,0.252941,-0.0701531,-0.725002,-0.9497,-1.33829,-0.749988,0,2,0.252941
-1,0.0538009,-0.733505,-1.66518,-1.51138,-1.30699,-1.65844,0,2,-0.733505
-1,0.0987057,-0.261223,-1.10495,-0.909685,-0.845244,-1.12338,0,2,-0.261223
-1,0.622171,-0.0118212,0.84268,0.694897,0.649123,0.87972,0,1,-0.0118212
1,0.0399973,-0.816542,-0.903615,-0.245664,-0.211081,-0.84776,0,1,0.0399973
1,0.0130487,-0.524827,-1.3912,-0.953075,-0.762073,-1.35897,0,2,0.0130487
-1,0.222908,-0.0145259,-0.411033,-0.646107,-1.48668,-0.545252,0,2,-0.0145259
1,0.223122,-0.0203736,0.949144,0.00408554,0.591985,0.95782,0,1,0.223122
-1,0.392812,-0.0283214,1.16721,1.50161,1.60014,1.17931,0,2,-0.0283214
1,0.0176778,-0.89724,-1.88959,-1.79028,-1.40868,-1.90673,0,2,0.0176778
1,0.0652306,-0.620984,-0.838212,-0.757998,-1.03911,-0.822651,0,2,0.0652306
1,0.967354,-0.0116728,1.57829,0.596648,0.9408,1.57232,0,1,0.967354
-1,0.967354,-0.0116728,1.57829,0.596648,0.9408,1.57232,0,1,-0.0116728
